Código de la Institución,IES PADRE,Institución de Educación Superior (IES),Principal oSeccional,Id_Sector,Id_Caracter,Código del departamento(IES),Departamento de domicilio de la IES,Código del Municipio(IES),Municipio dedomicilio de la IES,Código SNIES delprograma,Programa Académico,Id_Nivel,Id_Nivel_Formacion,Id_Metodologia,Id_Area,Núcleo Básico del Conocimiento (NBC),Código del Departamento(Programa),Departamento de oferta del programa,Código del Municipio(Programa),Municipio de oferta del programa,Id Género,Año,Semestre,Total Matriculados
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,570,MEDICINA,1,6,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,352
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,570,MEDICINA,1,6,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,329
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,571,ODONTOLOGIA,1,6,1,4,ODONTOLOGIA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,120
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,571,ODONTOLOGIA,1,6,1,4,ODONTOLOGIA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,74
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,549,TECNOLOGIA QUIMICA,1,5,1,8,INGENIERIA QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,83
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,549,TECNOLOGIA QUIMICA,1,5,1,8,INGENIERIA QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,104
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,551,LICENCIATURA EN ARTE DRAMATICO,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,92
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,551,LICENCIATURA EN ARTE DRAMATICO,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,72
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,555,LICENCIATURA EN HISTORIA,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,135
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,555,LICENCIATURA EN HISTORIA,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,108
