título,organismo,creado,actualizado,sector,idioma,coberturageográfica,frecuenciadeactualización,urldocumentacion,urlnormativa,descargas,visitas,clasificación,url
Mapa de Fauna Silvestre - Concentración de especímenes por comuna en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2021-12-02T21:24:53.463330,2021-12-15T14:42:34.813172,Agricultura y desarrollo Rural,Español,Local,Diaria,No aplica,No aplica,8,9,2,http://datos.cali.gov.co/dataset/mapa-fauna-silvestre-concentracion-especimenes-por-comuna-en-santiago-de-cali
Promedio del puntaje global y por prueba del Examen Saber 11 de las Instituciones Educativas Oficiales de Cali,Secretaría de Educación,2021-12-13T21:34:07.522307,2021-12-15T01:21:17.350814,Educación,Español,Municipal/Distrital,Anual,No aplica,No aplica,18,7,4,http://datos.cali.gov.co/dataset/promedio-del-puntaje-global-y-por-prueba-del-examen-saber-11-de-las-ieo-de-cali
NIDOS de Atención Integral a la Primera Infancia ubicados en Cali,Secretaría de Bienestar Social,2019-08-05T14:53:55.759377,2021-12-14T20:21:08.666509,Social / Población,Español,Local,No aplica,No aplica,No aplica,120,266,5,http://datos.cali.gov.co/dataset/nidos-de-atencion-integral-a-la-primera-infancia-ubicados-en-cali
Servicios prestados por el CRAV en Cali 2017,Secretaría de Bienestar Social,2019-04-29T20:43:06.860731,2021-12-14T20:20:08.222965,Social / Población,Español,Local,No aplica,No aplica,No aplica,36,127,3,http://datos.cali.gov.co/dataset/servicios-prestados-por-el-centro-regional-de-atencion-a-victimas-cali-2017
Personas caracterizadas por el centro regional de atención a víctimas en Cali en el año 2017,Secretaría de Bienestar Social,2019-04-30T13:37:27.874049,2021-12-14T20:19:13.830450,Social / Población,Español,Municipal/Distrital,No aplica,No aplica,No aplica,62,155,4,http://datos.cali.gov.co/dataset/personas-caracterizadas-por-el-centro-regional-de-atencion-a-victimas-en-cali-en-el-ano-2017
Centros de protección al adulto mayor ubicados en Cali 2017 - 2018,Secretaría de Bienestar Social,2019-04-29T20:29:18.719192,2021-12-14T20:18:33.725111,Salud y Protección Social,Español,Municipal/Distrital,No aplica,No aplica,No aplica,59,167,4,http://datos.cali.gov.co/dataset/centros-de-proteccion-al-adulto-mayor-ubicados-en-cali
Visitas domiciliarias a adultos mayores en la ciudad de Cali 2019,Secretaría de Bienestar Social,2019-10-21T21:01:58.684083,2021-12-14T20:18:00.534134,Social / Población,Español,Local,No aplica,No aplica,No aplica,26,92,1,http://datos.cali.gov.co/dataset/visitas-domiciliarias-a-adultos-mayores-en-la-ciudad-de-cali-2019
Visitas domiciliarias a adultos mayores en la ciudad de Cali 2017-2018,Secretaría de Bienestar Social,2018-12-13T20:26:34.066118,2021-12-14T20:17:19.104954,Social / Población,Español,Local,No aplica,No aplica,No aplica,30,77,1,http://datos.cali.gov.co/dataset/visitasdomiciliariasadultomayor
Ayudas entregadas por centro regional de atención a víctimas de Cali en el 2017,Secretaría de Bienestar Social,2019-04-30T13:18:30.531559,2021-12-14T20:16:40.113191,Social / Población,Español,Municipal/Distrital,No aplica,No aplica,No aplica,31,126,4,http://datos.cali.gov.co/dataset/ayudas-entregadas-por-centro-regional-de-atencion-a-victimas-de-cali-en-el-2017
Datasets certificados con Sello de Excelencia de la Alcaldía de Cali,Secretaría de Gobierno,2019-10-17T19:33:45.813935,2021-12-14T17:57:40.763517,Agricultura y desarrollo Rural,Español,Local,No aplica,No aplica,No aplica,29,51,3.5,http://datos.cali.gov.co/dataset/datasets-certificados-con-sello-de-excelencia-de-la-alcaldia-de-cali
Solicitud copia de escrituras Cali vigencia 2021,Secretaría de Cultura,2021-12-13T16:52:34.691805,2021-12-13T16:53:11.513053,Cultura,Español,Local,No aplica,No aplica,No aplica,3,3,3,http://datos.cali.gov.co/dataset/solicitud-copia-de-escrituras-cali-vigencia-2021
"Carga contaminante del río Cauca producto de los vertimientos de los cuerpos de agua de Santiago de Cali, 2006-2020.",Departamento Administrativo de Gestión del Medio Ambiente,2021-12-02T21:09:58.480888,2021-12-13T16:07:28.033792,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,7,8,3,http://datos.cali.gov.co/dataset/carga-contaminante-rio-cauca-por-vertimientos-cuerpos-de-agua-de-santiago-de-cali
XXVII Encuentro Nacional e Internacional de danza folclórica Mercedes Montaño Cali 2021,Secretaría de Cultura,2021-12-13T16:01:21.889826,2021-12-13T16:02:03.426696,Cultura,Español,Local,No aplica,No aplica,No aplica,3,3,2,http://datos.cali.gov.co/dataset/xxvii-encuentro-nacional-e-internacional-de-danza-folclorica-mercedes-montano-cali-2021
Control de tráfico de fauna silvestre en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2021-12-02T20:35:30.008125,2021-12-13T15:58:02.030855,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,2,6,2,http://datos.cali.gov.co/dataset/control-trafico-fauna-silvestre-santiago-de-cali
Beneficiarios registrados a través del mecanismo de la Secretaría de Cultura de Cali 2021,Secretaría de Cultura,2021-12-13T15:21:19.324917,2021-12-13T15:24:03.010504,Cultura,Español,Local,No aplica,No aplica,No aplica,2,3,5,http://datos.cali.gov.co/dataset/beneficiarios-registrados-a-traves-del-mecanismo-de-la-secretaria-de-cultura-de-cali-2021
Expedientes disciplinarios abiertos por organismos de la alcaldía de Santiago de Cali,Departamento Administrativo de Control Disciplinario Interno,2020-12-17T14:41:34.709880,2021-12-10T21:41:55.448070,Organismos de Control,Español,Local,Anual,No aplica,No aplica,15,50,4,http://datos.cali.gov.co/dataset/expedientes-disciplinarios-abiertos-por-organismos-de-la-alcaldia-de-santiago-de-cali
Casos confirmados del evento cáncer de cuello uterino notificados en Santiago de Cali.,Secretaría de Salud Pública,2021-06-25T19:05:08.888434,2021-12-10T16:01:54.250332,Salud y Protección Social,Español,Municipal/Distrital,Mensual,No aplica,No aplica,35,34,3.5,http://datos.cali.gov.co/dataset/casos-confirmados-del-evento-cancer-de-cuello-uterino-notificados-en-santiago-de-cali
