codigo_dane,nombre_ieo,comuna,zona_geo,zona_edu,año,promedio
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2016,271
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2017,265
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2018,256
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2019,253
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2020,252
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2021,241
176001029411,Institución Educativa Agustín Nieto Caballero,11,Urbana,Sur-Oriente,2022,258
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2016,264
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2017,257
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2018,244
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2019,253
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2020,244
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2021,247
176001001681,Institución Educativa Alberto Carvajal Borrero,8,Urbana,Centro,2022,249
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2016,252
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2017,246
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2018,251
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2019,241
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2020,243
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2021,242
176001040101,Institución Educativa Alfonso López Pumarejo,7,Urbana,Nor-Oriente,2022,240
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2016,268
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2017,273
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2018,270
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2019,264
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2020,265
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2021,259
176001011163,Institución Educativa Álvaro Echeverry Perea,18,Urbana,Sur,2022,271
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2016,240
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2017,243
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2018,237
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2019,238
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2020,224
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2021,233
176001003161,Institución Educativa Bartolomé Loboguerrero,13,Urbana,Oriente,2022,238
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2016,241
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2017,238
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2018,237
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2019,229
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2020,229
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2021,241
176001008791,Institución Educativa Boyacá,11,Urbana,Sur-Oriente,2022,232
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2016,265
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2017,256
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2018,261
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2019,254
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2020,251
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2021,248
176001008642,Institución Educativa Carlos Holguín Lloreda,10,Urbana,Sur-Oriente,2022,255
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2016,241
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2017,227
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2018,231
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2019,236
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2020,229
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2021,230
176001007131,Institución Educativa Carlos Holmes Trujillo,16,Urbana,Sur-Oriente,2022,220
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2016,269
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2017,257
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2018,270
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2019,253
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2020,251
176001020065,Institución Educativa Celmira Bueno De Orejuela,5,Urbana,Nor-Oriente,2021,262
